ward_code,Ward,Borough,Party,Designation,Life_Exp ,Child_Obesity,Incapacity_Benefit,Unemployment_rate,Crime_rate,Deliberate_Fires,GCSE_point,Unauthorised_Absence,dependent_children,Public_Transport,open_space ,Subjective_wellbeing,Rate_of_Ambulance,Median_income
E09000001,City of London,City of London,Conservative,Outer,86.40,28.80,0.80,2.20,14.00,0.30,360.00,0.70,10.00,7.86,-6.50,7.70,140.00,63620.00
E05000026,Abbey,Barking and Dagenham,Labour,Outer,82.00,23.20,1.60,8.90,120.80,1.20,334.00,1.36,25.00,5.99,-0.90,7.80,157.30,33920.00
E05000027,Alibon,Barking and Dagenham,Labour,Outer,79.00,25.60,3.20,10.20,93.20,0.70,323.00,1.49,32.00,3.15,-1.80,7.60,139.80,32470.00
E05000028,Becontree,Barking and Dagenham,Labour,Outer,79.20,28.40,2.30,9.90,104.70,0.40,319.00,1.47,32.00,2.87,-5.50,7.60,130.10,33000.00
E05000029,Chadwell Heath,Barking and Dagenham,Labour,Outer,80.80,28.80,2.60,8.60,83.70,1.90,330.00,1.60,28.00,2.26,2.00,7.60,139.10,33920.00
E05000030,Eastbrook,Barking and Dagenham,Labour,Outer,79.20,24.10,1.90,8.30,61.60,1.10,350.00,1.21,24.00,2.31,5.70,7.60,147.80,37400.00
E05000031,Eastbury,Barking and Dagenham,Labour,Outer,82.00,24.30,2.40,10.20,88.30,1.40,340.00,1.45,28.00,2.73,-8.20,7.80,113.00,32870.00
E05000032,Gascoigne,Barking and Dagenham,Labour,Outer,78.20,26.10,2.80,12.20,109.60,0.70,340.00,1.32,27.00,3.23,-10.00,7.80,136.10,29480.00
E05000033,Goresbrook,Barking and Dagenham,Labour,Outer,80.30,25.80,2.60,9.50,97.80,1.10,345.00,1.16,31.00,2.46,4.80,7.80,136.60,33250.00
E05000034,Heath,Barking and Dagenham,Labour,Outer,78.50,25.40,3.10,11.90,77.10,1.00,338.00,1.12,33.00,2.65,0.40,7.60,188.00,31340.00
E05000035,Longbridge,Barking and Dagenham,Labour,Outer,82.20,22.60,1.40,5.30,73.20,0.70,354.00,0.85,15.00,3.06,-2.20,7.80,118.40,40570.00
E05000036,Mayesbrook,Barking and Dagenham,Labour,Outer,80.00,24.90,3.10,9.30,94.70,1.30,339.00,1.33,28.00,2.50,2.40,7.60,136.30,31530.00
E05000037,Parsloes,Barking and Dagenham,Labour,Outer,79.90,23.30,3.20,9.50,80.70,1.20,340.00,1.18,29.00,2.70,-1.70,7.60,144.30,31860.00
E05000038,River,Barking and Dagenham,Labour,Outer,76.50,31.20,2.40,8.50,62.90,0.70,324.00,1.26,26.00,3.01,2.90,7.60,137.90,33490.00
E05000039,Thames,Barking and Dagenham,Labour,Outer,80.10,24.90,1.70,8.70,74.50,1.70,316.00,1.23,19.00,2.13,-6.30,7.80,140.10,32580.00
E05000040,Valence,Barking and Dagenham,Labour,Outer,78.80,21.50,3.10,9.30,83.80,0.90,335.00,1.58,30.00,3.22,-2.40,7.60,133.70,33200.00
